source_file,game_id,ply,fen,best_move
training-run2-test91-20251106-0917.parquet,training-run2-test91-20251106-0917_0,1,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,d2d4
training-run2-test91-20251106-0917.parquet,training-run2-test91-20251106-0917_0,2,rnbqkbnr/pppppppp/8/8/8/6P1/PPPPPP1P/RNBQKBNR b KQkq - 0 1,e7e5
training-run2-test91-20251106-0917.parquet,training-run2-test91-20251106-0917_0,3,rnbqkbnr/pppp1ppp/8/4p3/8/6P1/PPPPPP1P/RNBQKBNR w KQkq - 0 1,c2c4
training-run2-test91-20251106-0917.parquet,training-run2-test91-20251106-0917_0,4,rnbqkbnr/pppp1ppp/8/4p3/2P5/6P1/PP1PPP1P/RNBQKBNR b KQkq - 0 1,d7d5
training-run2-test91-20251106-0917.parquet,training-run2-test91-20251106-0917_0,5,rnbqkb1r/pppp1ppp/5n2/4p3/2P5/6P1/PP1PPP1P/RNBQKBNR w KQkq - 1 1,f1g2
training-run2-test91-20251106-0917.parquet,training-run2-test91-20251106-0917_0,6,rnbqkb1r/pppp1ppp/5n2/4p3/2P5/6P1/PP1PPPBP/RNBQK1NR b KQkq - 2 1,d7d5
training-run2-test91-20251106-0917.parquet,training-run2-test91-20251106-0917_0,7,rnbqk2r/pppp1ppp/5n2/2b1p3/2P5/6P1/PP1PPPBP/RNBQK1NR w KQkq - 3 1,b1c3
training-run2-test91-20251106-0917.parquet,training-run2-test91-20251106-0917_0,8,rnbqk2r/pppp1ppp/5n2/2b1p3/2P5/2N3P1/PP1PPPBP/R1BQK1NR b KQkq - 4 1,c7c6
training-run2-test91-20251106-0917.parquet,training-run2-test91-20251106-0917_0,9,rnbqk2r/pp1p1ppp/2p2n2/2b1p3/2P5/2N3P1/PP1PPPBP/R1BQK1NR w KQkq - 0 1,c3a4
training-run2-test91-20251106-0917.parquet,training-run2-test91-20251106-0917_0,10,rnbqk2r/pp1p1ppp/2p2n2/2b1p3/N1P5/6P1/PP1PPPBP/R1BQK1NR b KQkq - 1 1,c5e7
training-run2-test91-20251106-0917.parquet,training-run2-test91-20251106-0917_0,11,rnbqk2r/pp1p1ppp/1bp2n2/4p3/N1P5/6P1/PP1PPPBP/R1BQK1NR w KQkq - 2 1,a4b6
training-run2-test91-20251106-0917.parquet,training-run2-test91-20251106-0917_0,12,rnbqk2r/pp1p1ppp/1Np2n2/4p3/2P5/6P1/PP1PPPBP/R1BQK1NR b KQkq - 0 1,a7b6
training-run2-test91-20251106-0917.parquet,training-run2-test91-20251106-0917_0,13,rnbqk2r/1p1p1ppp/1pp2n2/4p3/2P5/6P1/PP1PPPBP/R1BQK1NR w KQkq - 0 1,g1f3
training-run2-test91-20251106-0917.parquet,training-run2-test91-20251106-0917_0,14,rnbqk2r/1p1p1ppp/1pp2n2/4p3/2PP4/6P1/PP2PPBP/R1BQK1NR b KQkq - 0 1,e5e4
training-run2-test91-20251106-0917.parquet,training-run2-test91-20251106-0917_0,15,rnbqk2r/1p1p1ppp/1pp2n2/8/2PPp3/6P1/PP2PPBP/R1BQK1NR w KQkq - 0 1,c1g5
training-run2-test91-20251106-0917.parquet,training-run2-test91-20251106-0917_0,16,rnbqk2r/1p1p1ppp/1pp2n2/3P4/2P1p3/6P1/PP2PPBP/R1BQK1NR b KQkq - 0 1,c6d5
training-run2-test91-20251106-0917.parquet,training-run2-test91-20251106-0917_0,17,rnbqk2r/1p1p1ppp/1p3n2/3p4/2P1p3/6P1/PP2PPBP/R1BQK1NR w KQkq - 0 1,c4d5
training-run2-test91-20251106-0917.parquet,training-run2-test91-20251106-0917_0,18,rnbqk2r/1p1p1ppp/1p3n2/3P4/4p3/6P1/PP2PPBP/R1BQK1NR b KQkq - 0 1,d7d6
training-run2-test91-20251106-0917.parquet,training-run2-test91-20251106-0917_0,19,rnbqk2r/1p3ppp/1p1p1n2/3P4/4p3/6P1/PP2PPBP/R1BQK1NR w KQkq - 0 1,g1h3
training-run2-test91-20251106-0917.parquet,training-run2-test91-20251106-0917_0,20,rnbqk2r/1p3ppp/1p1p1n2/3P4/4p3/6PN/PP2PPBP/R1BQK2R b KQkq - 1 1,e8h8
training-run2-test91-20251106-0917.parquet,training-run2-test91-20251106-0917_0,21,rnbq1rk1/1p3ppp/1p1p1n2/3P4/4p3/6PN/PP2PPBP/R1BQK2R w KQ - 2 1,e1h1
training-run2-test91-20251106-0917.parquet,training-run2-test91-20251106-0917_0,22,rnbq1rk1/1p3ppp/1p1p1n2/3P4/4p3/6PN/PP2PPBP/R1BQ1RK1 b - - 3 1,f8e8
training-run2-test91-20251106-0917.parquet,training-run2-test91-20251106-0917_0,23,rnbqr1k1/1p3ppp/1p1p1n2/3P4/4p3/6PN/PP2PPBP/R1BQ1RK1 w - - 4 1,b2b3
training-run2-test91-20251106-0917.parquet,training-run2-test91-20251106-0917_0,24,rnbqr1k1/1p3ppp/1p1p1n2/3P4/4p3/1P4PN/P3PPBP/R1BQ1RK1 b - - 0 1,c8f5
training-run2-test91-20251106-0917.parquet,training-run2-test91-20251106-0917_0,25,rn1qr1k1/1p3ppp/1p1p1n2/3P1b2/4p3/1P4PN/P3PPBP/R1BQ1RK1 w - - 1 1,c1b2
training-run2-test91-20251106-0917.parquet,training-run2-test91-20251106-0917_0,26,rn1qr1k1/1p3ppp/1p1p1n2/3P1b2/4pN2/1P4P1/P3PPBP/R1BQ1RK1 b - - 2 1,b8d7
training-run2-test91-20251106-0917.parquet,training-run2-test91-20251106-0917_0,27,rn1qr1k1/1p3p1p/1p1p1n2/3P1bp1/4pN2/1P4P1/P3PPBP/R1BQ1RK1 w - - 0 1,f4h3
training-run2-test91-20251106-0917.parquet,training-run2-test91-20251106-0917_0,28,rn1qr1k1/1p3p1p/1p1p1n2/3P1bp1/4p3/1P4PN/P3PPBP/R1BQ1RK1 b - - 1 1,h7h6
training-run2-test91-20251106-0917.parquet,training-run2-test91-20251106-0917_0,29,rn1qr1k1/1p3p2/1p1p1n1p/3P1bp1/4p3/1P4PN/P3PPBP/R1BQ1RK1 w - - 0 1,c1b2
training-run2-test91-20251106-0917.parquet,training-run2-test91-20251106-0917_1,1,rn1qr1k1/1p3p2/1p1p1n1p/3P1bp1/4pP2/1P4PN/P3P1BP/R1BQ1RK1 b - - 0 1,g5g4
training-run2-test91-20251106-0917.parquet,training-run2-test91-20251106-0917_2,1,rn1qr1k1/1p3p2/1p1p1n1p/3P1bp1/8/1P3pPN/P3P1BP/R1BQ1RK1 w - - 0 1,e2f3
training-run2-test91-20251106-0917.parquet,training-run2-test91-20251106-0917_2,2,rn1qr1k1/1p3p2/1p1p1n1p/3P1bp1/8/1P3PPN/P5BP/R1BQ1RK1 b - - 0 1,d8c8
training-run2-test91-20251106-0917.parquet,training-run2-test91-20251106-0917_2,3,rnq1r1k1/1p3p2/1p1p1n1p/3P1bp1/8/1P3PPN/P5BP/R1BQ1RK1 w - - 1 1,h3f2
training-run2-test91-20251106-0917.parquet,training-run2-test91-20251106-0917_2,4,rnq1r1k1/1p3p2/1p1p1n1p/3P1bp1/6P1/1P3P1N/P5BP/R1BQ1RK1 b - - 0 1,c8c3
training-run2-test91-20251106-0917.parquet,training-run2-test91-20251106-0917_2,5,rn2r1k1/1p3p2/1p1p1n1p/3P1bp1/6P1/1Pq2P1N/P5BP/R1BQ1RK1 w - - 1 1,c1g5
training-run2-test91-20251106-0917.parquet,training-run2-test91-20251106-0917_2,6,rn2r1k1/1p3p2/1p1p1n1p/3P1bB1/6P1/1Pq2P1N/P5BP/R2Q1RK1 b - - 0 1,h6g5
training-run2-test91-20251106-0917.parquet,training-run2-test91-20251106-0917_2,7,rn2r1k1/1p3p2/1p1p1n2/3P1bp1/6P1/1Pq2P1N/P5BP/R2Q1RK1 w - - 0 1,g4f5
training-run2-test91-20251106-0917.parquet,training-run2-test91-20251106-0917_2,8,rn2r1k1/1p3p2/1p1p1n2/3P1Pp1/8/1Pq2P1N/P5BP/R2Q1RK1 b - - 0 1,b8d7
training-run2-test91-20251106-0917.parquet,training-run2-test91-20251106-0917_2,9,r3r1k1/1p1n1p2/1p1p1n2/3P1Pp1/8/1Pq2P1N/P5BP/R2Q1RK1 w - - 1 1,g1h1
training-run2-test91-20251106-0917.parquet,training-run2-test91-20251106-0917_2,10,r3r1k1/1p1n1p2/1p1p1n2/3P1Pp1/8/1Pq2P1N/P5BP/R2Q1R1K b - - 2 1,c3e3
training-run2-test91-20251106-0917.parquet,training-run2-test91-20251106-0917_2,11,r3r1k1/1p1n1p2/1p1p1n2/3P1Pp1/8/1P2qP1N/P5BP/R2Q1R1K w - - 3 1,d1c1
training-run2-test91-20251106-0917.parquet,training-run2-test91-20251106-0917_2,12,r3r1k1/1p1n1p2/1p1p1n2/3P1Pp1/8/1P2qP1N/P5BP/R1Q2R1K b - - 4 1,e3c1
training-run2-test91-20251106-0917.parquet,training-run2-test91-20251106-0917_2,13,r3r1k1/1p1n1p2/1p1p1n2/3P1P2/6p1/1P2qP1N/P5BP/R1Q2R1K w - - 0 1,f3g4
training-run2-test91-20251106-0917.parquet,training-run2-test91-20251106-0917_2,14,r3r1k1/1p1n1p2/1p1p1n2/3P1PN1/6p1/1P2qP2/P5BP/R1Q2R1K b - - 1 1,e3c1
training-run2-test91-20251106-0917.parquet,training-run2-test91-20251106-0917_2,15,r3r1k1/1p1n1p2/1p1p1n2/3P1PN1/8/1P2qp2/P5BP/R1Q2R1K w - - 0 1,g2f3
training-run2-test91-20251106-0917.parquet,training-run2-test91-20251106-0917_2,16,r3r1k1/1p1n1p2/1p1p1n2/3P1PN1/8/1P2qB2/P6P/R1Q2R1K b - - 0 1,e3c1
