step,winrate,elo,wall_s,ckpt
300000,0.5275,2519.128260449779,1314.5751087665558,checkpoint_300000.pt
310000,0.5275,2519.128260449779,1203.1009657382965,checkpoint_310000.pt
320000,0.5925,2565.0242966424585,1211.5629105567932,checkpoint_320000.pt
330000,0.49,2493.050361572231,1241.1483190059662,checkpoint_330000.pt
340000,0.4775,2484.3548324546696,1330.9038155078888,checkpoint_340000.pt
350000,0.5675,2547.191901625731,1288.6778409481049,checkpoint_350000.pt
360000,0.565,2545.4236763459203,1375.807889699936,checkpoint_360000.pt
370000,0.585,2559.643107748035,1318.6200489997864,checkpoint_370000.pt
380000,0.5175,2512.1652145796575,1309.2568085193634,checkpoint_380000.pt
390000,0.5375,2526.1066926050366,1298.7303659915924,checkpoint_390000.pt
400000,0.5,2500.0,1344.372582912445,checkpoint_400000.pt
406000,0.5425,2529.60345764724,1340.343386888504,checkpoint_406000.pt
